label,card_detected,clip_percent_high_after,clip_percent_high_before,clip_percent_low_after,clip_percent_low_before,corrected,gray_angular_deg_after,gray_angular_deg_before,gray_neutrality_after,gray_neutrality_before,max_patch_de76_after,max_patch_de76_before,mean_luma_after,mean_luma_before,mean_patch_de2000_after,mean_patch_de2000_before,mean_patch_de76_after,mean_patch_de76_before,mean_patch_de76_color_after,mean_patch_de76_color_before,original,sheet
v9,True,2.734,0.202,0.989,7.261,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_hybrid.png,25.66,36.78,0.2252,0.5105,66.93,106.03,81.4,60.4,23.69,32.93,40.29,59.19,43.62,63.3,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z.jpg,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint-09-uart-throughput-22e3e7/runs/hybrid_physics_20260901_v9/scores/v9_SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_sheet.jpg
v9,True,3.075,0.032,1.069,16.689,SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z_hybrid.png,26.72,37.15,0.2454,0.5672,72.85,106.04,85.6,58.3,28.86,33.15,49.3,58.57,55.18,63.71,SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z.jpg,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint-09-uart-throughput-22e3e7/runs/hybrid_physics_20260901_v9/scores/v9_SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z_sheet.jpg
