label,card_detected,clip_percent_high_after,clip_percent_high_before,clip_percent_low_after,clip_percent_low_before,corrected,gray_angular_deg_after,gray_angular_deg_before,gray_neutrality_after,gray_neutrality_before,max_patch_de76_after,max_patch_de76_before,mean_luma_after,mean_luma_before,mean_patch_de2000_after,mean_patch_de2000_before,mean_patch_de76_after,mean_patch_de76_before,mean_patch_de76_color_after,mean_patch_de76_color_before,original,sheet
v2_gtrim0.5,True,1.392,0.202,4.88,7.261,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_hybrid.png,18.02,36.78,0.1331,0.5105,67.61,106.03,69.4,60.4,22.53,32.93,34.4,59.19,37.67,63.3,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z.jpg,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint10-phase-e-queue-char-91ff36/runs/color_v2_orderops_20260902/scores_gtrim/v2_gtrim0.5_SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_sheet.jpg
v2_gtrim0.5,True,3.343,0.032,6.55,16.689,SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z_hybrid.png,20.08,37.15,0.1622,0.5672,77.72,106.04,72.8,58.3,25.75,33.15,39.19,58.57,44.81,63.71,SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z.jpg,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint10-phase-e-queue-char-91ff36/runs/color_v2_orderops_20260902/scores_gtrim/v2_gtrim0.5_SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z_sheet.jpg
v2_gtrim0.75,True,1.421,0.202,3.627,7.261,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_hybrid.png,11.95,36.78,0.0879,0.5105,67.61,106.03,71.0,60.4,19.75,32.93,30.39,59.19,34.35,63.3,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z.jpg,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint10-phase-e-queue-char-91ff36/runs/color_v2_orderops_20260902/scores_gtrim/v2_gtrim0.75_SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_sheet.jpg
v2_gtrim0.75,True,3.394,0.032,6.082,16.689,SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z_hybrid.png,13.95,37.15,0.1071,0.5672,76.93,106.04,74.8,58.3,22.62,33.15,34.68,58.57,40.85,63.71,SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z.jpg,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint10-phase-e-queue-char-91ff36/runs/color_v2_orderops_20260902/scores_gtrim/v2_gtrim0.75_SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z_sheet.jpg
v2_gtrim1.0,True,1.626,0.202,3.333,7.261,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_hybrid.png,7.16,36.78,0.0562,0.5105,67.61,106.03,72.4,60.4,17.12,32.93,27.84,59.19,32.29,63.3,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z.jpg,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint10-phase-e-queue-char-91ff36/runs/color_v2_orderops_20260902/scores_gtrim/v2_gtrim1.0_SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_sheet.jpg
v2_gtrim1.0,True,3.514,0.032,5.306,16.689,SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z_hybrid.png,8.73,37.15,0.0676,0.5672,76.13,106.04,76.5,58.3,19.6,33.15,31.82,58.57,38.64,63.71,SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z.jpg,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint10-phase-e-queue-char-91ff36/runs/color_v2_orderops_20260902/scores_gtrim/v2_gtrim1.0_SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z_sheet.jpg
