case,roi,crop_native_intent,output_w,output_h,fps_req,bitrate_mbps,forced_mode,chosen_mode,mode_fov_native,applied_roi_native_xywh,avail_w,avail_h,upscale_factor,verdict,frames,fps_actual,encode_s,bytes,cma_free_kb_during,temp_c_after,rc
s_wide_1080p15,0,0,1,1,"0,0,4608,2592",1920,1080,15,8,2304:1296:10:P,2304x1296,4608x2592,"0,0,4608,2592",2304,1296,0.83,OK_1to1_or_down,291,14.6,20.7,8286494,50516,47.2,0
s_wide_1080p30,0,0,1,1,"0,0,4608,2592",1920,1080,30,8,2304:1296:10:P,2304x1296,4608x2592,"0,0,4608,2592",2304,1296,0.83,OK_1to1_or_down,569,28.4,20.5,16056320,47460,49.4,134
s_wide_720p15,0,0,1,1,"0,0,4608,2592",1280,720,15,4,2304:1296:10:P,2304x1296,4608x2592,"0,0,4608,2592",2304,1296,0.56,OK_1to1_or_down,291,14.6,20.6,3146230,66328,48.3,0
s_half_1080p15,0.25,0.25,0.5,0.5,"1152,648,2304,1296",1920,1080,15,8,2304:1296:10:P,2304x1296,4608x2592,"1152,648,2304,1296",1152,648,1.67,UPSCALED,291,14.6,20.7,9998413,57288,48.3,0
s_tight_1080p12_full,0.291667,0.291667,0.416667,0.416667,"1344,756,1920,1080",1920,1080,12,8,4608:2592:10:P,4608x2592,4608x2592,"1344,756,1920,1080",1920,1080,1.00,OK_1to1_or_down,230,11.5,20.8,6965104,2484,48.9,0
s_tight_1080p14_full,0.291667,0.291667,0.416667,0.416667,"1344,756,1920,1080",1920,1080,14,8,4608:2592:10:P,4608x2592,4608x2592,"1344,756,1920,1080",1920,1080,1.00,OK_1to1_or_down,241,12.1,20.9,7652280,292,49.4,0
s_stills_roi_1000p,0.326389,0.326389,0.347222,0.347222,"1504,846,1600,900",1000,562,15,2,4608:2592:10:P,4608x2592,4608x2592,"1504,846,1599,899",1599,899,0.63,OK_1to1_or_down,277,13.8,20.8,2886139,30684,48.9,0
s_stills_roi_1600p,0.326389,0.326389,0.347222,0.347222,"1504,846,1600,900",1600,898,15,6,4608:2592:10:P,4608x2592,4608x2592,"1504,846,1599,899",1599,899,1.00,UPSCALED,277,13.8,20.8,7474766,25036,49.4,0
