label,card_detected,clip_percent_high_after,clip_percent_high_before,clip_percent_low_after,clip_percent_low_before,corrected,gray_angular_deg_after,gray_angular_deg_before,gray_neutrality_after,gray_neutrality_before,max_patch_de76_after,max_patch_de76_before,mean_luma_after,mean_luma_before,mean_patch_de2000_after,mean_patch_de2000_before,mean_patch_de76_after,mean_patch_de76_before,mean_patch_de76_color_after,mean_patch_de76_color_before,original,sheet
moody1,True,3.686,0.202,5.769,7.261,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_hybrid.png,29.03,36.78,0.2849,0.5105,65.51,106.03,94.3,60.4,23.57,32.93,41.14,59.19,44.26,63.3,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z.jpg,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint-09-uart-throughput-22e3e7/runs/hybrid_physics_20260901_moody/scores/moody1_SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_sheet.jpg
moody2,True,3.451,0.202,6.491,7.261,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_hybrid.png,27.41,36.78,0.2756,0.5105,69.16,106.03,86.4,60.4,23.1,32.93,41.38,59.19,44.89,63.3,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z.jpg,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint-09-uart-throughput-22e3e7/runs/hybrid_physics_20260901_moody/scores/moody2_SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_sheet.jpg
moody3,True,3.61,0.202,8.079,7.261,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_hybrid.png,27.68,36.78,0.2748,0.5105,70.49,106.03,78.4,60.4,23.58,32.93,41.7,59.19,45.11,63.3,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z.jpg,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint-09-uart-throughput-22e3e7/runs/hybrid_physics_20260901_moody/scores/moody3_SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_sheet.jpg
