unit,fn,sz,res,fps,br,dur,encode_s,boundary_s,tmp,du,dt,rd
bmcam003,2026-08-18T04-56-13Z_video_1000x562_15fps.mp4,2927532,1000x562,15,2.0,15,16.3,3.8,33.2,4.0,114.7,0
bmcam003,2026-08-18T04-56-34Z_video_1000x562_15fps.mp4,2837983,1000x562,15,2.0,15,15.6,2.9,34.3,4.0,114.7,0
bmcam003,2026-08-18T04-56-52Z_video_1000x562_15fps.mp4,2782689,1000x562,15,2.0,15,15.6,2.2,34.3,4.0,114.7,0
bmcam003,2026-08-18T04-57-10Z_video_1000x562_15fps.mp4,2760834,1000x562,15,2.0,15,15.5,2.2,34.3,4.0,114.7,0
bmcam004,2026-08-18T04-56-15Z_video_1000x562_15fps.mp4,3607825,1000x562,15,2.0,15,16.3,3.0,34.3,3.6,114.7,0
bmcam004,2026-08-18T04-56-34Z_video_1000x562_15fps.mp4,3620658,1000x562,15,2.0,15,15.5,2.4,35.4,3.6,114.7,0
bmcam004,2026-08-18T04-56-52Z_video_1000x562_15fps.mp4,3627712,1000x562,15,2.0,15,15.5,2.3,34.9,3.6,114.7,0
bmcam004,2026-08-18T04-57-10Z_video_1000x562_15fps.mp4,3620819,1000x562,15,2.0,15,15.5,2.3,34.9,3.6,114.7,0
