label,card_detected,clip_percent_high_after,clip_percent_high_before,clip_percent_low_after,clip_percent_low_before,corrected,gray_angular_deg_after,gray_angular_deg_before,gray_neutrality_after,gray_neutrality_before,max_patch_de76_after,max_patch_de76_before,mean_luma_after,mean_luma_before,mean_patch_de2000_after,mean_patch_de2000_before,mean_patch_de76_after,mean_patch_de76_before,mean_patch_de76_color_after,mean_patch_de76_color_before,original,sheet
lookA,True,2.113,0.202,1.949,7.261,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_lookA.png,4.06,36.78,0.0194,0.5105,66.39,106.03,77.3,60.4,15.49,32.93,26.88,59.19,32.26,63.3,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z.jpg,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint10-phase-e-queue-char-91ff36/runs/tg7_look_transfer_20260902/scores/lookA_SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_sheet.jpg
lookA,True,4.135,0.032,1.448,16.689,SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z_lookA.png,6.56,37.15,0.0397,0.5672,75.66,106.04,81.3,58.3,18.4,33.15,31.35,58.57,39.2,63.71,SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z.jpg,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint10-phase-e-queue-char-91ff36/runs/tg7_look_transfer_20260902/scores/lookA_SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z_sheet.jpg
redreconB,True,1.729,0.202,0.814,7.261,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_redreconB.png,7.97,36.78,0.0548,0.5105,68.49,106.03,78.1,60.4,16.58,32.93,27.28,59.19,31.32,63.3,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z.jpg,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint10-phase-e-queue-char-91ff36/runs/tg7_look_transfer_20260902/scores/redreconB_SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_sheet.jpg
redreconB,True,3.68,0.032,0.955,16.689,SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z_redreconB.png,8.65,37.15,0.0531,0.5672,75.73,106.04,82.1,58.3,19.45,33.15,31.64,58.57,38.32,63.71,SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z.jpg,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint10-phase-e-queue-char-91ff36/runs/tg7_look_transfer_20260902/scores/redreconB_SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z_sheet.jpg
