label,card_detected,clip_percent_high_after,clip_percent_high_before,clip_percent_low_after,clip_percent_low_before,corrected,gray_angular_deg_after,gray_angular_deg_before,gray_neutrality_after,gray_neutrality_before,max_patch_de76_after,max_patch_de76_before,mean_luma_after,mean_luma_before,mean_patch_de2000_after,mean_patch_de2000_before,mean_patch_de76_after,mean_patch_de76_before,mean_patch_de76_color_after,mean_patch_de76_color_before,original,sheet
cheung2004_t5,True,8.972,0.202,81.233,7.261,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_cheung2004_t5.png,12.16,36.78,0.1351,0.5105,40.36,106.03,47.0,60.4,9.45,32.93,14.17,59.19,11.78,63.3,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z.jpg,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint-09-uart-throughput-22e3e7/runs/colour_science_variants_20260901/scores/cheung2004_t5_SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_sheet.jpg
cheung2004_t5,True,8.314,0.032,80.613,16.689,SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z_cheung2004_t5.png,17.75,37.15,0.4045,0.5672,42.02,106.04,43.3,58.3,12.71,33.15,18.68,58.57,16.51,63.71,SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z.jpg,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint-09-uart-throughput-22e3e7/runs/colour_science_variants_20260901/scores/cheung2004_t5_SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z_sheet.jpg
cheung2004_t7,True,9.504,0.202,81.254,7.261,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_cheung2004_t7.png,6.67,36.78,0.0551,0.5105,23.22,106.03,47.0,60.4,6.32,32.93,10.47,59.19,9.68,63.3,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z.jpg,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint-09-uart-throughput-22e3e7/runs/colour_science_variants_20260901/scores/cheung2004_t7_SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_sheet.jpg
cheung2004_t7,True,9.556,0.032,77.848,16.689,SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z_cheung2004_t7.png,12.49,37.15,0.1403,0.5672,30.38,106.04,45.8,58.3,10.33,33.15,14.84,58.57,13.76,63.71,SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z.jpg,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint-09-uart-throughput-22e3e7/runs/colour_science_variants_20260901/scores/cheung2004_t7_SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z_sheet.jpg
finlayson2015_rp2,True,8.621,0.202,11.134,7.261,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_finlayson2015_rp2.png,7.19,36.78,0.0636,0.5105,52.48,106.03,87.6,60.4,12.82,32.93,18.24,59.19,15.98,63.3,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z.jpg,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint-09-uart-throughput-22e3e7/runs/colour_science_variants_20260901/scores/finlayson2015_rp2_SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_sheet.jpg
finlayson2015_rp2,True,9.062,0.032,12.974,16.689,SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z_finlayson2015_rp2.png,6.78,37.15,0.0473,0.5672,49.96,106.04,89.0,58.3,12.43,33.15,17.65,58.57,15.96,63.71,SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z.jpg,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint-09-uart-throughput-22e3e7/runs/colour_science_variants_20260901/scores/finlayson2015_rp2_SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z_sheet.jpg
vandermonde_d2,True,7.435,0.202,7.214,7.261,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_vandermonde_d2.png,7.76,36.78,0.0673,0.5105,27.64,106.03,94.8,60.4,6.51,32.93,10.22,59.19,8.57,63.3,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z.jpg,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint-09-uart-throughput-22e3e7/runs/colour_science_variants_20260901/scores/vandermonde_d2_SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_sheet.jpg
vandermonde_d2,True,8.153,0.032,79.769,16.689,SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z_vandermonde_d2.png,9.91,37.15,0.0811,0.5672,26.52,106.04,45.3,58.3,8.91,33.15,12.8,58.57,11.26,63.71,SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z.jpg,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint-09-uart-throughput-22e3e7/runs/colour_science_variants_20260901/scores/vandermonde_d2_SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z_sheet.jpg
