label,card_detected,clip_percent_high_after,clip_percent_high_before,clip_percent_low_after,clip_percent_low_before,corrected,gray_angular_deg_after,gray_angular_deg_before,gray_neutrality_after,gray_neutrality_before,max_patch_de76_after,max_patch_de76_before,mean_luma_after,mean_luma_before,mean_patch_de2000_after,mean_patch_de2000_before,mean_patch_de76_after,mean_patch_de76_before,mean_patch_de76_color_after,mean_patch_de76_color_before,original,sheet
hybrid_finish,True,10.178,0.202,1.352,7.261,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_hybrid.png,31.07,36.78,0.3073,0.5105,71.07,106.03,108.0,60.4,25.65,32.93,44.43,59.19,46.94,63.3,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z.jpg,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint-09-uart-throughput-22e3e7/runs/hybrid_physics_20260901_finish/scores/hybrid_finish_SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_sheet.jpg
hybrid_finish,True,14.199,0.032,3.269,16.689,SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z_hybrid.png,31.88,37.15,0.3344,0.5672,72.51,106.04,109.9,58.3,29.86,33.15,52.12,58.57,56.94,63.71,SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z.jpg,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint-09-uart-throughput-22e3e7/runs/hybrid_physics_20260901_finish/scores/hybrid_finish_SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z_sheet.jpg
binnedbs,True,8.861,0.202,2.476,7.261,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_binnedbs.png,34.3,36.78,0.4888,0.5105,102.18,106.03,102.8,60.4,31.9,32.93,55.49,59.19,59.43,63.3,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z.jpg,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint-09-uart-throughput-22e3e7/runs/hybrid_physics_20260901_finish/scores/binnedbs_SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_sheet.jpg
binnedbs,True,9.331,0.032,6.137,16.689,SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z_binnedbs.png,34.21,37.15,0.4833,0.5672,98.19,106.04,99.9,58.3,31.47,33.15,54.31,58.57,59.13,63.71,SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z.jpg,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint-09-uart-throughput-22e3e7/runs/hybrid_physics_20260901_finish/scores/binnedbs_SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z_sheet.jpg
