utc,fn,sz,res,fps,dur,tmp,rd,encode_s,boundary_s
2026-08-18T04:56:15Z,2026-08-18T04-56-15Z_video_1000x562_15fps.mp4,3607825,1000x562,15,15,34.3,0,16.3,3.0
2026-08-18T04:56:34Z,2026-08-18T04-56-34Z_video_1000x562_15fps.mp4,3620658,1000x562,15,15,35.4,0,15.5,2.4
2026-08-18T04:56:52Z,2026-08-18T04-56-52Z_video_1000x562_15fps.mp4,3627712,1000x562,15,15,34.9,0,15.5,2.3
2026-08-18T04:57:10Z,2026-08-18T04-57-10Z_video_1000x562_15fps.mp4,3620819,1000x562,15,15,34.9,0,15.5,2.3
2026-08-18T04:59:42Z,2026-08-18T04-59-42Z_video_1000x562_15fps.mp4,71501766,1000x562,15,300,36.5,0,287.8,9.7
2026-08-18T05:04:56Z,2026-08-18T05-04-56Z_video_1000x562_15fps.mp4,74913683,1000x562,15,300,36.5,0,301.2,9.1
2026-08-18T05:10:09Z,2026-08-18T05-10-09Z_video_1000x562_15fps.mp4,74914148,1000x562,15,300,36.5,0,300.6,9.1
2026-08-18T05:15:21Z,2026-08-18T05-15-21Z_video_1000x562_15fps.mp4,74913406,1000x562,15,300,37.0,0,300.6,8.7
2026-08-18T05:20:33Z,2026-08-18T05-20-33Z_video_1000x562_15fps.mp4,74912233,1000x562,15,300,38.1,0,300.6,8.5
2026-08-18T05:22:13Z,2026-08-18T05-22-13Z_video_1000x562_15fps.mp4,4873277,1000x562,15,300,38.1,0,23.0,5.5
2026-08-18T05:29:07Z,2026-08-18T05-29-07Z_video_1000x562_15fps.mp4,66933583,1000x562,15,300,37.6,0,300.6,9.4
2026-08-18T05:34:19Z,2026-08-18T05-34-19Z_video_1000x562_15fps.mp4,66379282,1000x562,15,300,38.6,0,300.8,7.3
2026-08-18T05:39:29Z,2026-08-18T05-39-29Z_video_1000x562_15fps.mp4,66313747,1000x562,15,300,38.6,0,300.6,6.9
2026-08-18T05:44:39Z,2026-08-18T05-44-39Z_video_1000x562_15fps.mp4,66073119,1000x562,15,300,39.7,0,300.9,7.9
2026-08-18T05:49:50Z,2026-08-18T05-49-50Z_video_1000x562_15fps.mp4,66020959,1000x562,15,300,39.2,0,300.6,4.4
