label,card_detected,clip_percent_high_after,clip_percent_high_before,clip_percent_low_after,clip_percent_low_before,corrected,gray_angular_deg_after,gray_angular_deg_before,gray_neutrality_after,gray_neutrality_before,max_patch_de76_after,max_patch_de76_before,mean_luma_after,mean_luma_before,mean_patch_de2000_after,mean_patch_de2000_before,mean_patch_de76_after,mean_patch_de76_before,mean_patch_de76_color_after,mean_patch_de76_color_before,original,sheet
seathru_f15,True,15.211,0.202,8.768,7.261,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_seathru_f15.png,29.22,36.78,0.3559,0.5105,86.17,106.03,84.8,60.4,35.73,32.93,57.08,59.19,60.71,63.3,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z.jpg,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint-09-uart-throughput-22e3e7/runs/seathru_variants_20260901/scores/seathru_f15_SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_sheet.jpg
seathru_f30,True,12.839,0.202,8.989,7.261,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_seathru_f30.png,31.52,36.78,0.4086,0.5105,97.21,106.03,70.7,60.4,37.91,32.93,61.72,59.19,66.25,63.3,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z.jpg,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint-09-uart-throughput-22e3e7/runs/seathru_variants_20260901/scores/seathru_f30_SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_sheet.jpg
seathru_znear,True,12.815,0.202,10.21,7.261,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_seathru_znear.png,30.3,36.78,0.3663,0.5105,81.4,106.03,74.5,60.4,33.72,32.93,54.27,59.19,57.79,63.3,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z.jpg,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint-09-uart-throughput-22e3e7/runs/seathru_variants_20260901/scores/seathru_znear_SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_sheet.jpg
seathru_zfar,True,13.095,0.202,9.367,7.261,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_seathru_zfar.png,30.81,36.78,0.3762,0.5105,84.76,106.03,74.0,60.4,34.77,32.93,56.08,59.19,59.79,63.3,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z.jpg,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint-09-uart-throughput-22e3e7/runs/seathru_variants_20260901/scores/seathru_zfar_SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_sheet.jpg
