label,card_detected,clip_percent_high_after,clip_percent_high_before,clip_percent_low_after,clip_percent_low_before,corrected,gray_angular_deg_after,gray_angular_deg_before,gray_neutrality_after,gray_neutrality_before,max_patch_de76_after,max_patch_de76_before,mean_luma_after,mean_luma_before,mean_patch_de2000_after,mean_patch_de2000_before,mean_patch_de76_after,mean_patch_de76_before,mean_patch_de76_color_after,mean_patch_de76_color_before,original,sheet
v2_sb0,True,1.656,0.202,6.909,7.261,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_hybrid.png,29.07,36.78,0.3063,0.5105,70.43,106.03,65.8,60.4,26.36,32.93,44.53,59.19,48.38,63.3,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z.jpg,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint10-phase-e-queue-char-91ff36/runs/color_v2_orderops_20260902/scores_sb0/v2_sb0_SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_sheet.jpg
v2_sb0,True,3.542,0.032,14.712,16.689,SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z_hybrid.png,31.26,37.15,0.3713,0.5672,82.0,106.04,67.9,58.3,29.71,33.15,50.4,58.57,56.72,63.71,SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z.jpg,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint10-phase-e-queue-char-91ff36/runs/color_v2_orderops_20260902/scores_sb0/v2_sb0_SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z_sheet.jpg
v2_sb0_bc115,True,1.365,0.202,6.757,7.261,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_hybrid.png,30.17,36.78,0.2885,0.5105,67.6,106.03,63.4,60.4,27.06,32.93,47.21,59.19,50.29,63.3,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z.jpg,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint10-phase-e-queue-char-91ff36/runs/color_v2_orderops_20260902/scores_sb0/v2_sb0_bc115_SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_sheet.jpg
v2_sb0_bc115,True,2.223,0.032,14.542,16.689,SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z_hybrid.png,32.1,37.15,0.3561,0.5672,79.09,106.04,65.7,58.3,30.64,33.15,53.01,58.57,58.78,63.71,SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z.jpg,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint10-phase-e-queue-char-91ff36/runs/color_v2_orderops_20260902/scores_sb0/v2_sb0_bc115_SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z_sheet.jpg
