label,card_detected,clip_percent_high_after,clip_percent_high_before,clip_percent_low_after,clip_percent_low_before,corrected,gray_angular_deg_after,gray_angular_deg_before,gray_neutrality_after,gray_neutrality_before,max_patch_de76_after,max_patch_de76_before,mean_luma_after,mean_luma_before,mean_patch_de2000_after,mean_patch_de2000_before,mean_patch_de76_after,mean_patch_de76_before,mean_patch_de76_color_after,mean_patch_de76_color_before,original,sheet
v2_sw098,True,1.564,0.202,6.569,7.261,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_hybrid.png,30.29,36.78,0.2894,0.5105,68.06,106.03,64.3,60.4,27.26,32.93,47.65,59.19,50.65,63.3,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z.jpg,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint10-phase-e-queue-char-91ff36/runs/color_v2_orderops_20260902/scores_sw/v2_sw098_SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_sheet.jpg
v2_sw098,True,2.337,0.032,14.311,16.689,SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z_hybrid.png,32.23,37.15,0.3576,0.5672,79.45,106.04,66.5,58.3,30.93,33.15,53.59,58.57,59.36,63.71,SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z.jpg,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint10-phase-e-queue-char-91ff36/runs/color_v2_orderops_20260902/scores_sw/v2_sw098_SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z_sheet.jpg
v2_sw098_warm,True,1.684,0.202,6.569,7.261,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_hybrid.png,29.99,36.78,0.2911,0.5105,68.06,106.03,64.8,60.4,27.2,32.93,46.85,59.19,50.15,63.3,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z.jpg,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint10-phase-e-queue-char-91ff36/runs/color_v2_orderops_20260902/scores_sw/v2_sw098_warm_SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_sheet.jpg
v2_sw098_warm,True,3.625,0.032,14.324,16.689,SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z_hybrid.png,32.01,37.15,0.3582,0.5672,79.17,106.04,66.9,58.3,30.71,33.15,52.46,58.57,58.32,63.71,SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z.jpg,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint10-phase-e-queue-char-91ff36/runs/color_v2_orderops_20260902/scores_sw/v2_sw098_warm_SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z_sheet.jpg
