label,card_detected,clip_percent_high_after,clip_percent_high_before,clip_percent_low_after,clip_percent_low_before,corrected,gray_angular_deg_after,gray_angular_deg_before,gray_neutrality_after,gray_neutrality_before,max_patch_de76_after,max_patch_de76_before,mean_luma_after,mean_luma_before,mean_patch_de2000_after,mean_patch_de2000_before,mean_patch_de76_after,mean_patch_de76_before,mean_patch_de76_color_after,mean_patch_de76_color_before,original,sheet
hybrid,True,7.26,0.202,84.258,7.261,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_hybrid.png,12.91,36.78,0.1655,0.5105,42.05,106.03,50.3,60.4,7.51,32.93,11.09,59.19,7.54,63.3,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z.jpg,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint-09-uart-throughput-22e3e7/runs/hybrid_physics_20260901/scores/hybrid_SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_sheet.jpg
hybrid_nopolish,True,10.52,0.202,83.244,7.261,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_hybrid_nopolish.png,17.43,36.78,0.1597,0.5105,46.69,106.03,57.2,60.4,14.46,32.93,22.88,59.19,22.55,63.3,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z.jpg,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint-09-uart-throughput-22e3e7/runs/hybrid_physics_20260901/scores/hybrid_nopolish_SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_sheet.jpg
hybrid,True,8.255,0.032,82.009,16.689,SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z_hybrid.png,17.86,37.15,0.4648,0.5672,35.78,106.04,41.6,58.3,10.95,33.15,16.87,58.57,16.39,63.71,SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z.jpg,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint-09-uart-throughput-22e3e7/runs/hybrid_physics_20260901/scores/hybrid_SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z_sheet.jpg
hybrid_nopolish,True,13.994,0.032,82.197,16.689,SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z_hybrid_nopolish.png,32.35,37.15,0.4143,0.5672,73.37,106.04,59.3,58.3,25.17,33.15,40.97,58.57,41.98,63.71,SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z.jpg,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint-09-uart-throughput-22e3e7/runs/hybrid_physics_20260901/scores/hybrid_nopolish_SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z_sheet.jpg
