label,card_detected,clip_percent_high_after,clip_percent_high_before,clip_percent_low_after,clip_percent_low_before,corrected,gray_angular_deg_after,gray_angular_deg_before,gray_neutrality_after,gray_neutrality_before,max_patch_de76_after,max_patch_de76_before,mean_luma_after,mean_luma_before,mean_patch_de2000_after,mean_patch_de2000_before,mean_patch_de76_after,mean_patch_de76_before,mean_patch_de76_color_after,mean_patch_de76_color_before,original,sheet
hybrid_v4,True,3.656,0.202,1.245,7.261,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_hybrid.png,25.51,36.78,0.2242,0.5105,68.03,106.03,104.7,60.4,23.09,32.93,40.48,59.19,43.92,63.3,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z.jpg,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint-09-uart-throughput-22e3e7/runs/hybrid_physics_20260901_v4max/scores/hybrid_v4_SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_sheet.jpg
hybrid_v4,True,4.472,0.032,1.259,16.689,SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z_hybrid.png,26.24,37.15,0.2438,0.5672,70.14,106.04,108.1,58.3,27.38,33.15,47.91,58.57,53.88,63.71,SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z.jpg,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint-09-uart-throughput-22e3e7/runs/hybrid_physics_20260901_v4max/scores/hybrid_v4_SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z_sheet.jpg
