image,timestamp_utc,card_detected,quality_status,corner_source,tag_count,tag_ids,tag_side_px_min,patch_count_used,white_patch_red_frac,red_signal_ok,method,model_from,gray_neutrality_before,gray_neutrality_after,gray_angular_deg_before,gray_angular_deg_after,mean_patch_de_before,mean_patch_de_after,mean_patch_de2000_before,mean_patch_de2000_after,mean_patch_de_color_after,max_patch_de_after,mean_luma_before,mean_luma_after,clip_percent_low_after,clip_percent_high_after,cutsheet_path,notes
SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_seathru.png,2026-09-01T17:00:25Z,True,PASS,apriltag,4,0 1 2 3,27.3,17,0.4745,True,gray_balance,,0.3804,0.1743,29.81,16.95,62.71,38.51,38.97,24.68,42.44,65.14,81.6,67.7,10.181,11.133,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint-09-uart-throughput-22e3e7/runs/seathru_bench_20260901/hybrid/SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_seathru/cutsheet.jpg,
SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_seathru.png,2026-09-01T17:00:25Z,True,PASS,apriltag,4,0 1 2 3,27.3,17,0.4745,True,ccm3x3,,0.3804,0.0653,29.81,6.95,62.71,29.77,38.97,18.12,33.62,65.34,81.6,63.7,23.624,6.306,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint-09-uart-throughput-22e3e7/runs/seathru_bench_20260901/hybrid/SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_seathru/cutsheet.jpg,
SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_seathru.png,2026-09-01T17:00:25Z,True,PASS,apriltag,4,0 1 2 3,27.3,17,0.4745,True,root_poly2,,0.3804,0.0944,29.81,10.13,62.71,25.66,38.97,15.49,27.68,58.6,81.6,45.5,58.575,0.248,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint-09-uart-throughput-22e3e7/runs/seathru_bench_20260901/hybrid/SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_seathru/cutsheet.jpg,
SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z_seathru.png,2026-09-01T18:00:24Z,True,PASS,apriltag,4,0 1 2 3,27.9,17,0.0941,True,gray_balance,,0.4928,0.0595,34.3,12.1,59.95,28.36,35.57,18.42,31.41,61.18,76.4,91.3,9.933,23.153,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint-09-uart-throughput-22e3e7/runs/seathru_bench_20260901/hybrid/SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z_seathru/cutsheet.jpg,
SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z_seathru.png,2026-09-01T18:00:24Z,True,PASS,apriltag,4,0 1 2 3,27.9,17,0.0941,True,ccm3x3,,0.4928,0.0382,34.3,5.5,59.95,24.59,35.57,15.58,27.8,59.83,76.4,69.0,26.62,8.977,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint-09-uart-throughput-22e3e7/runs/seathru_bench_20260901/hybrid/SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z_seathru/cutsheet.jpg,
SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z_seathru.png,2026-09-01T18:00:24Z,True,PASS,apriltag,4,0 1 2 3,27.9,17,0.0941,True,root_poly2,,0.4928,0.0444,34.3,6.58,59.95,20.16,35.57,13.0,20.56,44.43,76.4,65.8,38.505,9.693,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint-09-uart-throughput-22e3e7/runs/seathru_bench_20260901/hybrid/SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z_seathru/cutsheet.jpg,
