label,card_detected,clip_percent_high_after,clip_percent_high_before,clip_percent_low_after,clip_percent_low_before,corrected,gray_angular_deg_after,gray_angular_deg_before,gray_neutrality_after,gray_neutrality_before,max_patch_de76_after,max_patch_de76_before,mean_luma_after,mean_luma_before,mean_patch_de2000_after,mean_patch_de2000_before,mean_patch_de76_after,mean_patch_de76_before,mean_patch_de76_color_after,mean_patch_de76_color_before,original,sheet
v8a,True,2.868,0.202,1.061,7.261,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_hybrid.png,23.78,36.78,0.1963,0.5105,58.08,106.03,80.6,60.4,22.03,32.93,36.94,59.19,39.48,63.3,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z.jpg,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint-09-uart-throughput-22e3e7/runs/hybrid_physics_20260901_v8a/scores/v8a_SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_sheet.jpg
v8a,True,3.403,0.032,1.276,16.689,SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z_hybrid.png,25.64,37.15,0.2172,0.5672,73.87,106.04,85.2,58.3,27.28,33.15,45.78,58.57,50.42,63.71,SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z.jpg,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint-09-uart-throughput-22e3e7/runs/hybrid_physics_20260901_v8a/scores/v8a_SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z_sheet.jpg
v8b,True,3.163,0.202,1.101,7.261,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_hybrid.png,23.81,36.78,0.1977,0.5105,60.47,106.03,86.6,60.4,22.12,32.93,37.63,59.19,40.44,63.3,SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z.jpg,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint-09-uart-throughput-22e3e7/runs/hybrid_physics_20260901_v8a/scores/v8b_SPOT-33361C_BMCAM_001_2026-09-01T17-00-25Z_sheet.jpg
v8b,True,3.815,0.032,1.29,16.689,SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z_hybrid.png,25.45,37.15,0.2195,0.5672,71.85,106.04,91.1,58.3,27.1,33.15,45.98,58.57,51.01,63.71,SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z.jpg,/Users/nickbuemond/Documents/GitHub/bm_cam_legacy/.claude/worktrees/sprint-09-uart-throughput-22e3e7/runs/hybrid_physics_20260901_v8a/scores/v8b_SPOT-33361C_BMCAM_001_2026-09-01T18-00-24Z_sheet.jpg
